"index","eco","group","subgroup","variant","pgn","san","fen","mv","board"
"287","A80","Flank openings","Dutch","?","1. d4 f5","f5","rnbqkbnr/pppppppp/8/8/3P4/8/PPP1PPPP/RNBQKBNR b KQkq - 0 1","1.  ... f5","tl -- -- -- -- -- -- -- -- tr 
8| rw nb bw qb kw bb nw rb || 
7| pb pw pb pw pb -w pb pw || 
6| -w -b -w -b -w -b -w -b || 
5| -b -w -b -w -b pw -b -w || 
4| -w -b -w Pb -w -b -w -b || 
3| -b -w -b -w -b -w -b -w || 
2| Pw Pb Pw -b Pw Pb Pw Pb || 
1| Rb Nw Bb Qw Kb Bw Nb Rw || 
bl a- b- c- d- e- f- g- h- br 
"
"288","A80","Flank openings","Dutch, Spielmann gambit","?","1. d4 f5 2. Nc3 Nf6 3. g4","g4","rnbqkb1r/ppppp1pp/5n2/5p2/3P4/2N5/PPP1PPPP/R1BQKBNR w KQkq - 2 3","3. g4 ... ","tl -- -- -- -- -- -- -- -- tr 
8| rw nb bw qb kw bb -w rb || 
7| pb pw pb pw pb -w pb pw || 
6| -w -b -w -b -w nb -w -b || 
5| -b -w -b -w -b pw -b -w || 
4| -w -b -w Pb -w -b Pw -b || 
3| -b -w Nb -w -b -w -b -w || 
2| Pw Pb Pw -b Pw Pb -w Pb || 
1| Rb -w Bb Qw Kb Bw Nb Rw || 
bl a- b- c- d- e- f- g- h- br 
"
"289","A80","Flank openings","Dutch, Manhattan (Alapin, Ulvestad) Variation ","?","1. d4 f5 2. Qd3","Qd3","rnbqkbnr/ppppp1pp/8/5p2/3P4/8/PPP1PPPP/RNBQKBNR w KQkq - 0 2","2. Qd3 ... ","tl -- -- -- -- -- -- -- -- tr 
8| rw nb bw qb kw bb nw rb || 
7| pb pw pb pw pb -w pb pw || 
6| -w -b -w -b -w -b -w -b || 
5| -b -w -b -w -b pw -b -w || 
4| -w -b -w Pb -w -b -w -b || 
3| -b -w -b Qw -b -w -b -w || 
2| Pw Pb Pw -b Pw Pb Pw Pb || 
1| Rb Nw Bb -w Kb Bw Nb Rw || 
bl a- b- c- d- e- f- g- h- br 
"
"290","A80","Flank openings","Dutch, Von Pretzel gambit","?","1. d4 f5 2. Qd3 e6 3. g4","g4","rnbqkbnr/pppp2pp/4p3/5p2/3P4/3Q4/PPP1PPPP/RNB1KBNR w KQkq - 0 3","3. g4 ... ","tl -- -- -- -- -- -- -- -- tr 
8| rw nb bw qb kw bb nw rb || 
7| pb pw pb pw -b -w pb pw || 
6| -w -b -w -b pw -b -w -b || 
5| -b -w -b -w -b pw -b -w || 
4| -w -b -w Pb -w -b Pw -b || 
3| -b -w -b Qw -b -w -b -w || 
2| Pw Pb Pw -b Pw Pb -w Pb || 
1| Rb Nw Bb -w Kb Bw Nb Rw || 
bl a- b- c- d- e- f- g- h- br 
"
"291","A80","Flank openings","Dutch, Korchnoi attack","?","1. d4 f5 2. h3","h3","rnbqkbnr/ppppp1pp/8/5p2/3P4/8/PPP1PPPP/RNBQKBNR w KQkq - 0 2","2. h3 ... ","tl -- -- -- -- -- -- -- -- tr 
8| rw nb bw qb kw bb nw rb || 
7| pb pw pb pw pb -w pb pw || 
6| -w -b -w -b -w -b -w -b || 
5| -b -w -b -w -b pw -b -w || 
4| -w -b -w Pb -w -b -w -b || 
3| -b -w -b -w -b -w -b Pw || 
2| Pw Pb Pw -b Pw Pb Pw -b || 
1| Rb Nw Bb Qw Kb Bw Nb Rw || 
bl a- b- c- d- e- f- g- h- br 
"
"292","A80","Flank openings","Dutch, Krejcik gambit","?","1. d4 f5 2. g4","g4","rnbqkbnr/ppppp1pp/8/5p2/3P4/8/PPP1PPPP/RNBQKBNR w KQkq - 0 2","2. g4 ... ","tl -- -- -- -- -- -- -- -- tr 
8| rw nb bw qb kw bb nw rb || 
7| pb pw pb pw pb -w pb pw || 
6| -w -b -w -b -w -b -w -b || 
5| -b -w -b -w -b pw -b -w || 
4| -w -b -w Pb -w -b Pw -b || 
3| -b -w -b -w -b -w -b -w || 
2| Pw Pb Pw -b Pw Pb -w Pb || 
1| Rb Nw Bb Qw Kb Bw Nb Rw || 
bl a- b- c- d- e- f- g- h- br 
"
"293","A80","Flank openings","Dutch, 2.Bg5 Variation ","?","1. d4 f5 2. Bg5","Bg5","rnbqkbnr/ppppp1pp/8/5p2/3P4/8/PPP1PPPP/RNBQKBNR w KQkq - 0 2","2. Bg5 ... ","tl -- -- -- -- -- -- -- -- tr 
8| rw nb bw qb kw bb nw rb || 
7| pb pw pb pw pb -w pb pw || 
6| -w -b -w -b -w -b -w -b || 
5| -b -w -b -w -b pw Bb -w || 
4| -w -b -w Pb -w -b -w -b || 
3| -b -w -b -w -b -w -b -w || 
2| Pw Pb Pw -b Pw Pb Pw Pb || 
1| Rb Nw -b Qw Kb Bw Nb Rw || 
bl a- b- c- d- e- f- g- h- br 
"
"294","A81","Flank openings","Dutch defense","?","1. d4 f5 2. g3","g3","rnbqkbnr/ppppp1pp/8/5p2/3P4/8/PPP1PPPP/RNBQKBNR w KQkq - 0 2","2. g3 ... ","tl -- -- -- -- -- -- -- -- tr 
8| rw nb bw qb kw bb nw rb || 
7| pb pw pb pw pb -w pb pw || 
6| -w -b -w -b -w -b -w -b || 
5| -b -w -b -w -b pw -b -w || 
4| -w -b -w Pb -w -b -w -b || 
3| -b -w -b -w -b -w Pb -w || 
2| Pw Pb Pw -b Pw Pb -w Pb || 
1| Rb Nw Bb Qw Kb Bw Nb Rw || 
bl a- b- c- d- e- f- g- h- br 
"
"295","A81","Flank openings","Dutch defense, Blackburne Variation ","?","1. d4 f5 2. g3 Nf6 3. Bg2 e6 4. Nh3","Nh3","rnbqkb1r/pppp2pp/4pn2/5p2/3P4/6P1/PPP1PPBP/RNBQK1NR w KQkq - 0 4","4. Nh3 ... ","tl -- -- -- -- -- -- -- -- tr 
8| rw nb bw qb kw bb -w rb || 
7| pb pw pb pw -b -w pb pw || 
6| -w -b -w -b pw nb -w -b || 
5| -b -w -b -w -b pw -b -w || 
4| -w -b -w Pb -w -b -w -b || 
3| -b -w -b -w -b -w Pb Nw || 
2| Pw Pb Pw -b Pw Pb Bw Pb || 
1| Rb Nw Bb Qw Kb -w -b Rw || 
bl a- b- c- d- e- f- g- h- br 
"
"296","A81","Flank openings","Dutch defense","?","1. d4 f5 2. g3 Nf6 3. Bg2 g6","g6","rnbqkb1r/ppppp1pp/5n2/5p2/3P4/6P1/PPP1PPBP/RNBQK1NR b KQkq - 2 3","3.  ... g6","tl -- -- -- -- -- -- -- -- tr 
8| rw nb bw qb kw bb -w rb || 
7| pb pw pb pw pb -w -b pw || 
6| -w -b -w -b -w nb pw -b || 
5| -b -w -b -w -b pw -b -w || 
4| -w -b -w Pb -w -b -w -b || 
3| -b -w -b -w -b -w Pb -w || 
2| Pw Pb Pw -b Pw Pb Bw Pb || 
1| Rb Nw Bb Qw Kb -w Nb Rw || 
bl a- b- c- d- e- f- g- h- br 
"
"297","A81","Flank openings","Dutch","Leningrad, Basman system","1. d4 f5 2. g3 g6 3. Bg2 Bg7 4. Nf3 c6 5. O-O Nh6","Nh6","rnbqk1nr/pp1pp1bp/2p3p1/5p2/3P4/5NP1/PPP1PPBP/RNBQ1RK1 b kq - 1 5","5.  ... Nh6","tl -- -- -- -- -- -- -- -- tr 
8| rw nb bw qb kw -b -w rb || 
7| pb pw -b pw pb -w bb pw || 
6| -w -b pw -b -w -b pw nb || 
5| -b -w -b -w -b pw -b -w || 
4| -w -b -w Pb -w -b -w -b || 
3| -b -w -b -w -b Nw Pb -w || 
2| Pw Pb Pw -b Pw Pb Bw Pb || 
1| Rb Nw Bb Qw -b Rw Kb -w || 
bl a- b- c- d- e- f- g- h- br 
"
"298","A81","Flank openings","Dutch","Leningrad, Karlsbad Variation ","1. d4 f5 2. g3 g6 3. Bg2 Bg7 4. Nh3","Nh3","rnbqk1nr/ppppp1bp/6p1/5p2/3P4/6P1/PPP1PPBP/RNBQK1NR w KQkq - 2 4","4. Nh3 ... ","tl -- -- -- -- -- -- -- -- tr 
8| rw nb bw qb kw -b nw rb || 
7| pb pw pb pw pb -w bb pw || 
6| -w -b -w -b -w -b pw -b || 
5| -b -w -b -w -b pw -b -w || 
4| -w -b -w Pb -w -b -w -b || 
3| -b -w -b -w -b -w Pb Nw || 
2| Pw Pb Pw -b Pw Pb Bw Pb || 
1| Rb Nw Bb Qw Kb -w -b Rw || 
bl a- b- c- d- e- f- g- h- br 
"
"299","A82","Flank openings","Dutch","Staunton gambit","1. d4 f5 2. e4","e4","rnbqkbnr/ppppp1pp/8/5p2/3P4/8/PPP1PPPP/RNBQKBNR w KQkq - 0 2","2. e4 ... ","tl -- -- -- -- -- -- -- -- tr 
8| rw nb bw qb kw bb nw rb || 
7| pb pw pb pw pb -w pb pw || 
6| -w -b -w -b -w -b -w -b || 
5| -b -w -b -w -b pw -b -w || 
4| -w -b -w Pb Pw -b -w -b || 
3| -b -w -b -w -b -w -b -w || 
2| Pw Pb Pw -b -w Pb Pw Pb || 
1| Rb Nw Bb Qw Kb Bw Nb Rw || 
bl a- b- c- d- e- f- g- h- br 
"
"300","A82","Flank openings","Dutch","Balogh defense","1. d4 f5 2. e4 d6","d6","rnbqkbnr/ppppp1pp/8/5p2/3PP3/8/PPP2PPP/RNBQKBNR b KQkq - 0 2","2.  ... d6","tl -- -- -- -- -- -- -- -- tr 
8| rw nb bw qb kw bb nw rb || 
7| pb pw pb -w pb -w pb pw || 
6| -w -b -w pb -w -b -w -b || 
5| -b -w -b -w -b pw -b -w || 
4| -w -b -w Pb Pw -b -w -b || 
3| -b -w -b -w -b -w -b -w || 
2| Pw Pb Pw -b -w Pb Pw Pb || 
1| Rb Nw Bb Qw Kb Bw Nb Rw || 
bl a- b- c- d- e- f- g- h- br 
"
"301","A82","Flank openings","Dutch","Staunton gambit","1. d4 f5 2. e4 fxe4","fxe4","rnbqkbnr/ppppp1pp/8/5p2/3PP3/8/PPP2PPP/RNBQKBNR b KQkq - 0 2","2.  ... fxe4","tl -- -- -- -- -- -- -- -- tr 
8| rw nb bw qb kw bb nw rb || 
7| pb pw pb pw pb -w pb pw || 
6| -w -b -w -b -w -b -w -b || 
5| -b -w -b -w -b -w -b -w || 
4| -w -b -w Pb pw -b -w -b || 
3| -b -w -b -w -b -w -b -w || 
2| Pw Pb Pw -b -w Pb Pw Pb || 
1| Rb Nw Bb Qw Kb Bw Nb Rw || 
bl a- b- c- d- e- f- g- h- br 
"
"302","A82","Flank openings","Dutch","Staunton gambit, Tartakower Variation ","1. d4 f5 2. e4 fxe4 3. Nc3 Nf6 4. g4","g4","rnbqkb1r/ppppp1pp/5n2/8/3Pp3/2N5/PPP2PPP/R1BQKBNR w KQkq - 2 4","4. g4 ... ","tl -- -- -- -- -- -- -- -- tr 
8| rw nb bw qb kw bb -w rb || 
7| pb pw pb pw pb -w pb pw || 
6| -w -b -w -b -w nb -w -b || 
5| -b -w -b -w -b -w -b -w || 
4| -w -b -w Pb pw -b Pw -b || 
3| -b -w Nb -w -b -w -b -w || 
2| Pw Pb Pw -b -w Pb -w Pb || 
1| Rb -w Bb Qw Kb Bw Nb Rw || 
bl a- b- c- d- e- f- g- h- br 
"
"303","A83","Flank openings","Dutch","Staunton gambit, Staunton's line","1. d4 f5 2. e4 fxe4 3. Nc3 Nf6 4. Bg5","Bg5","rnbqkb1r/ppppp1pp/5n2/8/3Pp3/2N5/PPP2PPP/R1BQKBNR w KQkq - 2 4","4. Bg5 ... ","tl -- -- -- -- -- -- -- -- tr 
8| rw nb bw qb kw bb -w rb || 
7| pb pw pb pw pb -w pb pw || 
6| -w -b -w -b -w nb -w -b || 
5| -b -w -b -w -b -w Bb -w || 
4| -w -b -w Pb pw -b -w -b || 
3| -b -w Nb -w -b -w -b -w || 
2| Pw Pb Pw -b -w Pb Pw Pb || 
1| Rb -w -b Qw Kb Bw Nb Rw || 
bl a- b- c- d- e- f- g- h- br 
"
"304","A83","Flank openings","Dutch","Staunton gambit, Alekhine Variation ","1. d4 f5 2. e4 fxe4 3. Nc3 Nf6 4. Bg5 g6 5. h4","h4","rnbqkb1r/ppppp2p/5np1/6B1/3Pp3/2N5/PPP2PPP/R2QKBNR w KQkq - 0 5","5. h4 ... ","tl -- -- -- -- -- -- -- -- tr 
8| rw nb bw qb kw bb -w rb || 
7| pb pw pb pw pb -w -b pw || 
6| -w -b -w -b -w nb pw -b || 
5| -b -w -b -w -b -w Bb -w || 
4| -w -b -w Pb pw -b -w Pb || 
3| -b -w Nb -w -b -w -b -w || 
2| Pw Pb Pw -b -w Pb Pw -b || 
1| Rb -w -b Qw Kb Bw Nb Rw || 
bl a- b- c- d- e- f- g- h- br 
"
"305","A83","Flank openings","Dutch","Staunton gambit, Lasker Variation ","1. d4 f5 2. e4 fxe4 3. Nc3 Nf6 4. Bg5 g6 5. f3","f3","rnbqkb1r/ppppp2p/5np1/6B1/3Pp3/2N5/PPP2PPP/R2QKBNR w KQkq - 0 5","5. f3 ... ","tl -- -- -- -- -- -- -- -- tr 
8| rw nb bw qb kw bb -w rb || 
7| pb pw pb pw pb -w -b pw || 
6| -w -b -w -b -w nb pw -b || 
5| -b -w -b -w -b -w Bb -w || 
4| -w -b -w Pb pw -b -w -b || 
3| -b -w Nb -w -b Pw -b -w || 
2| Pw Pb Pw -b -w -b Pw Pb || 
1| Rb -w -b Qw Kb Bw Nb Rw || 
bl a- b- c- d- e- f- g- h- br 
"
"306","A83","Flank openings","Dutch","Staunton gambit, Chigorin Variation ","1. d4 f5 2. e4 fxe4 3. Nc3 Nf6 4. Bg5 c6","c6","rnbqkb1r/ppppp1pp/5n2/6B1/3Pp3/2N5/PPP2PPP/R2QKBNR b KQkq - 3 4","4.  ... c6","tl -- -- -- -- -- -- -- -- tr 
8| rw nb bw qb kw bb -w rb || 
7| pb pw -b pw pb -w pb pw || 
6| -w -b pw -b -w nb -w -b || 
5| -b -w -b -w -b -w Bb -w || 
4| -w -b -w Pb pw -b -w -b || 
3| -b -w Nb -w -b -w -b -w || 
2| Pw Pb Pw -b -w Pb Pw Pb || 
1| Rb -w -b Qw Kb Bw Nb Rw || 
bl a- b- c- d- e- f- g- h- br 
"
"307","A83","Flank openings","Dutch","Staunton gambit, Nimzovich Variation ","1. d4 f5 2. e4 fxe4 3. Nc3 Nf6 4. Bg5 b6","b6","rnbqkb1r/ppppp1pp/5n2/6B1/3Pp3/2N5/PPP2PPP/R2QKBNR b KQkq - 3 4","4.  ... b6","tl -- -- -- -- -- -- -- -- tr 
8| rw nb bw qb kw bb -w rb || 
7| pb -w pb pw pb -w pb pw || 
6| -w pb -w -b -w nb -w -b || 
5| -b -w -b -w -b -w Bb -w || 
4| -w -b -w Pb pw -b -w -b || 
3| -b -w Nb -w -b -w -b -w || 
2| Pw Pb Pw -b -w Pb Pw Pb || 
1| Rb -w -b Qw Kb Bw Nb Rw || 
bl a- b- c- d- e- f- g- h- br 
"
"308","A84","Flank openings","Dutch defense","?","1. d4 f5 2. c4","c4","rnbqkbnr/ppppp1pp/8/5p2/3P4/8/PPP1PPPP/RNBQKBNR w KQkq - 0 2","2. c4 ... ","tl -- -- -- -- -- -- -- -- tr 
8| rw nb bw qb kw bb nw rb || 
7| pb pw pb pw pb -w pb pw || 
6| -w -b -w -b -w -b -w -b || 
5| -b -w -b -w -b pw -b -w || 
4| -w -b Pw Pb -w -b -w -b || 
3| -b -w -b -w -b -w -b -w || 
2| Pw Pb -w -b Pw Pb Pw Pb || 
1| Rb Nw Bb Qw Kb Bw Nb Rw || 
bl a- b- c- d- e- f- g- h- br 
"
"309","A84","Flank openings","Dutch defense","Bladel Variation ","1. d4 f5 2. c4 g6 3. Nc3 Nh6","Nh6","rnbqkbnr/ppppp2p/6p1/5p2/2PP4/2N5/PP2PPPP/R1BQKBNR b KQkq - 1 3","3.  ... Nh6","tl -- -- -- -- -- -- -- -- tr 
8| rw nb bw qb kw bb -w rb || 
7| pb pw pb pw pb -w -b pw || 
6| -w -b -w -b -w -b pw nb || 
5| -b -w -b -w -b pw -b -w || 
4| -w -b Pw Pb -w -b -w -b || 
3| -b -w Nb -w -b -w -b -w || 
2| Pw Pb -w -b Pw Pb Pw Pb || 
1| Rb -w Bb Qw Kb Bw Nb Rw || 
bl a- b- c- d- e- f- g- h- br 
"
"310","A84","Flank openings","Dutch defense","?","1. d4 f5 2. c4 e6","e6","rnbqkbnr/ppppp1pp/8/5p2/2PP4/8/PP2PPPP/RNBQKBNR b KQkq - 0 2","2.  ... e6","tl -- -- -- -- -- -- -- -- tr 
8| rw nb bw qb kw bb nw rb || 
7| pb pw pb pw -b -w pb pw || 
6| -w -b -w -b pw -b -w -b || 
5| -b -w -b -w -b pw -b -w || 
4| -w -b Pw Pb -w -b -w -b || 
3| -b -w -b -w -b -w -b -w || 
2| Pw Pb -w -b Pw Pb Pw Pb || 
1| Rb Nw Bb Qw Kb Bw Nb Rw || 
bl a- b- c- d- e- f- g- h- br 
"
"311","A84","Flank openings","Dutch defense, Rubinstein Variation ","?","1. d4 f5 2. c4 e6 3. Nc3","Nc3","rnbqkbnr/pppp2pp/4p3/5p2/2PP4/8/PP2PPPP/RNBQKBNR w KQkq - 0 3","3. Nc3 ... ","tl -- -- -- -- -- -- -- -- tr 
8| rw nb bw qb kw bb nw rb || 
7| pb pw pb pw -b -w pb pw || 
6| -w -b -w -b pw -b -w -b || 
5| -b -w -b -w -b pw -b -w || 
4| -w -b Pw Pb -w -b -w -b || 
3| -b -w Nb -w -b -w -b -w || 
2| Pw Pb -w -b Pw Pb Pw Pb || 
1| Rb -w Bb Qw Kb Bw Nb Rw || 
bl a- b- c- d- e- f- g- h- br 
"
"312","A84","Flank openings","Dutch","Staunton gambit deferred","1. d4 f5 2. c4 e6 3. e4","e4","rnbqkbnr/pppp2pp/4p3/5p2/2PP4/8/PP2PPPP/RNBQKBNR w KQkq - 0 3","3. e4 ... ","tl -- -- -- -- -- -- -- -- tr 
8| rw nb bw qb kw bb nw rb || 
7| pb pw pb pw -b -w pb pw || 
6| -w -b -w -b pw -b -w -b || 
5| -b -w -b -w -b pw -b -w || 
4| -w -b Pw Pb Pw -b -w -b || 
3| -b -w -b -w -b -w -b -w || 
2| Pw Pb -w -b -w Pb Pw Pb || 
1| Rb Nw Bb Qw Kb Bw Nb Rw || 
bl a- b- c- d- e- f- g- h- br 
"
"313","A84","Flank openings","Dutch defense","?","1. d4 f5 2. c4 Nf6","Nf6","rnbqkbnr/ppppp1pp/8/5p2/2PP4/8/PP2PPPP/RNBQKBNR b KQkq - 0 2","2.  ... Nf6","tl -- -- -- -- -- -- -- -- tr 
8| rw nb bw qb kw bb -w rb || 
7| pb pw pb pw pb -w pb pw || 
6| -w -b -w -b -w nb -w -b || 
5| -b -w -b -w -b pw -b -w || 
4| -w -b Pw Pb -w -b -w -b || 
3| -b -w -b -w -b -w -b -w || 
2| Pw Pb -w -b Pw Pb Pw Pb || 
1| Rb Nw Bb Qw Kb Bw Nb Rw || 
bl a- b- c- d- e- f- g- h- br 
"
